"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2009","8.3880","8.2100","8.3880","8.2100","","1.55%"
"09/30/2009","8.2600","8.3270","8.3770","8.1200","","-1.40%"
"09/29/2009","8.3770","8.4000","8.4800","8.3000","","-0.86%"
"09/28/2009","8.4500","8.4000","8.5400","8.4000","","0.00%"
"09/25/2009","8.4500","8.4700","8.5500","8.4000","","-0.82%"
"09/24/2009","8.5200","8.4940","8.5600","8.4500","","-0.28%"
"09/23/2009","8.5440","8.4600","8.5900","8.4600","","0.40%"
"09/22/2009","8.5100","8.4800","8.5300","8.4000","","-0.23%"
"09/21/2009","8.5300","8.5500","8.6000","8.4800","","-0.81%"
"09/18/2009","8.6000","8.5200","8.6150","8.5200","","0.35%"
"09/17/2009","8.5700","8.5000","8.5700","8.4500","","0.23%"
"09/16/2009","8.5500","8.4600","8.5950","8.4600","","0.47%"
"09/15/2009","8.5100","8.5600","8.6100","8.4000","","-1.16%"
"09/14/2009","8.6100","8.5050","8.6300","8.3500","","0.64%"
"09/11/2009","8.5550","8.3980","8.5600","8.3450","","1.27%"
"09/10/2009","8.4480","8.3800","8.4500","8.3300","","0.21%"
"09/09/2009","8.4300","8.7500","8.8000","8.3800","","-4.20%"
"09/08/2009","8.8000","8.5000","8.8210","8.5000","","0.63%"
"09/07/2009","8.7450","8.7500","8.7950","8.7000","","-2.07%"
"09/04/2009","8.9300","8.7840","9.0100","8.7800","","1.09%"
"09/03/2009","8.8340","8.6300","8.8600","8.5700","","1.77%"
"09/02/2009","8.6800","8.4300","8.6800","8.4300","","2.36%"
"09/01/2009","8.4800","8.4200","8.4800","8.4200","","0.12%"
"08/31/2009","8.4700","8.3600","8.5000","8.3600","","0.71%"
"08/28/2009","8.4100","8.5330","8.5830","8.3600","","-2.02%"
"08/27/2009","8.5830","8.4650","8.5830","8.3500","","0.80%"
"08/26/2009","8.5150","8.1500","8.5200","8.1500","","3.84%"
"08/25/2009","8.2000","8.4380","8.5250","8.1000","","-3.39%"
"08/24/2009","8.4880","8.4380","8.4880","8.4380","","0.00%"
"08/21/2009","8.4880","8.3650","8.4880","8.3650","","0.87%"
"08/20/2009","8.4150","8.3380","8.4280","8.3380","","0.32%"
"08/19/2009","8.3880","8.3130","8.3880","7.9700","","0.30%"
"08/18/2009","8.3630","8.3230","8.3730","8.0000","","-0.12%"
"08/17/2009","8.3730","8.0000","8.3820","7.9700","","4.01%"
"08/14/2009","8.0500","8.3410","8.3910","8.0000","","-4.06%"
"08/13/2009","8.3910","8.2160","8.3910","8.2160","","1.51%"
"08/12/2009","8.2660","8.1190","8.2660","8.1190","","1.19%"
"08/11/2009","8.1690","8.0450","8.1950","8.0450","","0.91%"
"08/10/2009","8.0950","7.9750","8.1110","7.9750","","0.87%"
"08/07/2009","8.0250","8.0180","8.0680","7.9750","","-0.53%"
"08/06/2009","8.0680","7.8500","8.1080","7.8500","","2.13%"
"08/05/2009","7.9000","7.8600","7.9500","7.8500","","-0.13%"
"08/04/2009","7.9100","7.8700","7.9200","7.8200","","-0.13%"
"08/03/2009","7.9200","7.8500","7.9200","7.8100","","0.25%"
"07/31/2009","7.9000","8.0000","8.0500","7.8500","","-1.62%"
"07/30/2009","8.0300","7.7900","8.1700","7.7900","","2.42%"
"07/29/2009","7.8400","7.7900","7.8400","7.7900","","0.00%"
"07/28/2009","7.8400","7.9250","7.9750","7.7900","","-1.69%"
"07/27/2009","7.9750","7.9250","7.9750","7.9250","","0.00%"
"07/24/2009","7.9750","7.9000","7.9750","7.9000","","0.31%"
"07/23/2009","7.9500","7.6500","7.9530","7.6500","","3.25%"
"07/22/2009","7.7000","7.6500","7.9580","7.6500","","0.00%"
"07/21/2009","7.7000","7.6500","7.7000","7.6500","","0.00%"
"07/20/2009","7.7000","7.6500","7.7000","7.6500","","0.00%"
"07/17/2009","7.7000","7.6500","7.9450","7.6500","","0.00%"
"07/16/2009","7.7000","7.6950","7.8000","7.6500","","-0.58%"
"07/15/2009","7.7450","7.6850","7.7450","7.6850","","0.13%"
"07/14/2009","7.7350","7.6300","7.7350","7.6300","","0.72%"
"07/13/2009","7.6800","7.6620","7.7120","7.6300","","-0.41%"
"07/10/2009","7.7120","7.6350","7.7120","7.6200","","0.35%"
"07/09/2009","7.6850","7.6500","7.7000","7.6250","","-0.19%"
"07/08/2009","7.7000","7.6100","7.7000","7.6100","","0.52%"
"07/07/2009","7.6600","7.6100","7.6600","7.6100","","0.39%"
"07/06/2009","7.6300","7.6100","7.6300","7.6100","","0.00%"
"07/03/2009","7.6300","7.6100","7.6300","7.6100","","0.00%"
"07/02/2009","7.6300","7.7000","7.7200","7.6100","","-1.55%"
"07/01/2009","7.7500","7.7200","7.8210","7.6400","","-0.19%"
"06/30/2009","7.7650","7.6300","7.7650","7.6300","","1.11%"
"06/29/2009","7.6800","7.6300","7.6800","7.6300","","0.00%"
"06/26/2009","7.6800","7.6710","7.9500","7.6300","","-0.53%"
"06/25/2009","7.7210","7.6750","7.7300","7.6300","","-0.05%"
"06/24/2009","7.7250","7.6470","7.7250","7.6200","","0.36%"
"06/23/2009","7.6970","7.6210","7.6970","7.6150","","0.34%"
"06/22/2009","7.6710","7.6100","7.6750","7.6100","","0.14%"
"06/19/2009","7.6600","7.6420","7.6920","7.6100","","-0.42%"
"06/18/2009","7.6920","7.6210","7.6960","7.6210","","0.27%"
"06/17/2009","7.6710","7.6400","7.6950","7.6200","","-0.25%"
"06/16/2009","7.6900","7.6200","7.6900","7.6160","","0.26%"
"06/15/2009","7.6700","7.6370","7.6870","7.6100","","-0.22%"
"06/12/2009","7.6870","7.6200","7.6900","7.6150","","0.86%"
"06/11/2009","7.6215","7.6060","7.6315","7.6050","","-0.45%"
"06/10/2009","7.6560","7.6050","7.6610","7.6050","","0.01%"
"06/09/2009","7.6550","7.6200","8.0300","7.6000","","-0.20%"
"06/08/2009","7.6700","7.6200","7.6700","7.6200","","0.00%"
"06/05/2009","7.6700","7.6100","7.6700","7.6100","","0.13%"
"06/04/2009","7.6600","7.6100","7.6660","7.6000","","-0.03%"
"06/03/2009","7.6625","7.6200","7.6625","7.6000","","-0.10%"
"06/02/2009","7.6700","7.6500","7.7000","7.6050","","-0.39%"
"06/01/2009","7.7000","7.6500","7.7000","7.6000","","0.65%"
"05/29/2009","7.6500","7.6500","7.7000","7.6000","","-0.65%"
"05/28/2009","7.7000","7.6500","7.7100","7.6200","","0.00%"
"05/27/2009","7.7000","7.6450","7.7200","7.6150","","0.06%"
"05/26/2009","7.6950","7.6150","7.6950","7.6050","","0.39%"
"05/25/2009","7.6650","7.6150","7.6800","7.6000","","0.00%"
"05/22/2009","7.6650","7.6200","7.6700","7.5500","","-0.07%"
"05/21/2009","7.6700","7.6150","7.6700","7.5800","","0.07%"
"05/20/2009","7.6650","7.5900","7.6700","7.5700","","0.33%"
"05/19/2009","7.6400","7.6150","7.6650","7.5700","","-0.33%"
"05/18/2009","7.6650","7.6150","7.6650","7.5900","","0.00%"
"05/15/2009","7.6650","7.6200","7.6700","7.5700","","-0.07%"
"05/14/2009","7.6700","7.7100","7.7600","7.6000","","-1.16%"
"05/13/2009","7.7600","7.8200","7.8700","7.6700","","-1.40%"
"05/12/2009","7.8700","7.7500","7.9100","7.7500","","0.90%"
"05/11/2009","7.8000","7.7500","7.8000","7.7500","","0.00%"
"05/08/2009","7.8000","7.9810","8.0310","7.7500","","-2.88%"
"05/07/2009","8.0310","7.9600","8.0310","7.9400","","0.26%"
"05/06/2009","8.0100","7.9600","8.0100","7.9600","","0.00%"
"05/05/2009","8.0100","7.9000","8.0100","7.9000","","0.75%"
"05/04/2009","7.9500","7.9000","7.9500","7.9000","","0.00%"
"05/01/2009","7.9500","7.9000","7.9500","7.9000","","0.00%"
"04/30/2009","7.9500","8.0700","8.1200","7.9000","","-2.09%"
"04/29/2009","8.1200","7.9600","8.1200","7.9600","","1.37%"
"04/28/2009","8.0100","7.9500","8.0100","7.9500","","0.13%"
"04/27/2009","8.0000","7.9500","8.0000","7.9500","","-0.62%"
"04/24/2009","8.0500","8.0500","8.1380","8.0000","","-0.62%"
"04/23/2009","8.1000","8.0500","8.1000","8.0500","","0.00%"
"04/22/2009","8.1000","7.9500","8.1000","7.9500","","1.25%"
"04/21/2009","8.0000","8.0300","8.0800","7.9500","","-0.99%"
"04/20/2009","8.0800","8.0300","8.0800","8.0300","","0.00%"
"04/17/2009","8.0800","8.0200","8.0800","8.0100","","0.12%"
"04/16/2009","8.0700","8.0300","8.1000","7.9500","","-0.12%"
"04/15/2009","8.0800","8.0070","8.0800","7.9800","","0.29%"
"04/14/2009","8.0570","8.0000","8.0700","7.9500","","0.09%"
"04/13/2009","8.0500","7.9700","8.0500","7.9000","","0.37%"
"04/10/2009","8.0200","7.9900","8.0500","7.9000","","-0.50%"
"04/09/2009","8.0600","8.0000","8.0900","7.9000","","0.12%"
"04/08/2009","8.0500","8.0000","8.0570","7.9000","","0.00%"
"04/07/2009","8.0500","8.0000","8.0500","7.9800","","0.00%"
"04/06/2009","8.0500","8.0000","8.0500","8.0000","","0.00%"
"04/03/2009","8.0500","8.0000","8.0500","8.0000","","0.00%"
"04/02/2009","8.0500","8.0000","8.0500","8.0000","","0.00%"
"04/01/2009","8.0500","8.0000","8.0500","8.0000","","0.00%"
"03/31/2009","8.0500","8.0000","8.0500","8.0000","","0.00%"
"03/30/2009","8.0500","8.0000","8.0500","8.0000","","0.00%"
"03/27/2009","8.0500","8.0000","8.0500","8.0000","","0.00%"
"03/26/2009","8.0500","8.0000","8.0500","8.0000","","0.00%"
"03/25/2009","8.0500","8.0000","8.0500","8.0000","","0.00%"
"03/24/2009","8.0500","8.0000","8.0500","7.7800","","0.00%"
"03/23/2009","8.0500","7.9500","8.0500","7.9500","","0.63%"
"03/20/2009","8.0000","7.9500","8.0000","7.9500","","0.00%"
"03/19/2009","8.0000","7.9500","8.0000","7.9500","","0.00%"
"03/18/2009","8.0000","7.9500","8.0000","7.7000","","0.00%"
"03/17/2009","8.0000","7.9500","8.0500","7.9500","","0.00%"
"03/16/2009","8.0000","8.1800","8.2300","7.9000","","-1.84%"
"03/13/2009","8.1500","7.8000","8.1500","7.8000","","3.82%"
"03/12/2009","7.8500","8.1800","8.2300","7.8000","","-4.62%"
"03/11/2009","8.2300","7.8000","8.2300","7.8000","","4.84%"
"03/10/2009","7.8500","7.8000","8.2900","7.8000","","0.00%"
"03/09/2009","7.8500","7.8000","7.8500","7.8000","","0.00%"
"03/06/2009","7.8500","7.8000","7.8500","7.8000","","0.00%"
"03/05/2009","7.8500","7.8000","7.8500","7.8000","","0.00%"
"03/04/2009","7.8500","8.4000","8.4500","7.8000","","-7.10%"
"03/03/2009","8.4500","8.4500","8.5000","8.4000","","-0.59%"
"03/02/2009","8.5000","8.5100","8.5600","8.4000","","-0.70%"
"02/27/2009","8.5600","8.4500","8.5600","8.3450","","0.71%"
"02/26/2009","8.5000","8.8600","8.9100","8.3450","","-4.60%"
"02/25/2009","8.9100","9.2400","9.4000","8.8000","","-4.09%"
"02/24/2009","9.2900","8.9000","9.3050","8.9000","","3.80%"
"02/23/2009","8.9500","8.3500","8.9500","7.8000","","6.55%"
"02/20/2009","8.4000","8.4000","8.6050","7.8000","","-0.59%"
"02/19/2009","8.4500","8.2800","8.4500","8.2000","","1.44%"
"02/18/2009","8.3300","8.2000","8.3300","8.2000","","0.97%"
"02/17/2009","8.2500","8.1000","8.2500","7.7800","","1.23%"
"02/16/2009","8.1500","8.1000","8.1500","8.1000","","0.00%"
"02/13/2009","8.1500","7.9020","8.1500","7.9020","","2.55%"
"02/12/2009","7.9475","7.9500","7.9825","7.9000","","-2.48%"
"02/11/2009","8.1500","8.1150","8.1750","7.7000","","1.56%"
"02/10/2009","8.0250","8.1000","8.1690","8.0000","","3.62%"
"02/09/2009","7.7450","7.7000","8.1450","7.7000","","0.52%"
"02/06/2009","7.7050","8.1000","8.1270","7.7000","","-4.35%"
"02/05/2009","8.0550","7.7000","8.0900","7.7000","","4.54%"
"02/04/2009","7.7050","7.7000","7.9750","7.7000","","0.00%"
"02/03/2009","7.7050","7.8800","8.0050","7.7000","","-2.28%"
"02/02/2009","7.8850","7.6800","7.8850","7.6800","","2.60%"
"01/30/2009","7.6850","7.7000","7.8150","7.6700","","-0.26%"
"01/29/2009","7.7050","7.8000","7.8090","7.7000","","-1.28%"
"01/28/2009","7.8050","7.9500","8.0570","7.5500","","-1.89%"
"01/27/2009","7.9550","8.0000","8.0550","7.9500","","-0.62%"
"01/26/2009","8.0050","7.8500","8.1050","7.7500","","1.91%"
"01/23/2009","7.8550","7.8500","7.8550","7.8500","","0.00%"
"01/22/2009","7.8550","7.8500","7.8550","7.7200","","0.00%"
"01/21/2009","7.8550","7.9300","7.9350","7.7500","","-1.01%"
"01/20/2009","7.9350","8.0000","8.0050","7.8000","","-0.87%"
"01/19/2009","8.0050","8.0000","8.0050","8.0000","","0.00%"
"01/16/2009","8.0050","8.2000","8.2850","8.0000","","-2.44%"
"01/15/2009","8.2050","8.7300","8.7350","8.2000","","-6.07%"
"01/14/2009","8.7350","8.4000","8.7350","8.4000","","-0.68%"
"01/13/2009","8.7950","8.7900","8.7950","8.7900","","0.00%"
"01/12/2009","8.7950","7.7000","8.7950","7.7000","","14.15%"
"01/09/2009","7.7050","8.1000","8.5550","7.7000","","-4.94%"
"01/08/2009","8.1050","8.3000","8.4050","8.1000","","-2.41%"
"01/07/2009","8.3050","8.3000","8.3050","8.3000","","0.00%"
"01/06/2009","8.3050","7.9000","8.4550","7.8500","","-0.24%"
"01/05/2009","8.3250","7.9500","8.3250","7.9500","","3.42%"
"01/02/2009","8.0500","7.8000","8.0500","7.8000","","0.00%"
"01/01/2009","8.0500","7.8000","8.0500","7.8000","","0.00%"
"12/31/2008","8.0500","7.8000","8.0500","7.8000","","4.89%"
"12/30/2008","7.6750","7.7500","8.0250","7.6500","","0.72%"
"12/29/2008","7.6200","7.4500","7.6300","7.3500","","0.93%"
"12/26/2008","7.5500","7.5000","7.7500","7.4500","","-1.95%"
"12/25/2008","7.7000","7.6500","7.8000","7.6000","","-1.91%"
"12/24/2008","7.8500","7.9000","8.1500","7.7000","","-1.13%"
"12/23/2008","7.9395","8.0000","8.1605","7.8500","","-3.47%"
"12/22/2008","8.2250","7.9000","8.4250","7.9000","","1.23%"
"12/19/2008","8.1250","8.7000","9.3250","7.9000","","-10.71%"
"12/18/2008","9.1000","9.1000","9.7500","8.8500","","1.68%"
"12/17/2008","8.9500","8.2000","9.0000","8.2000","","12.61%"
"12/16/2008","7.9475","8.0000","8.0575","7.6600","","-1.27%"
"12/15/2008","8.0500","7.8000","8.1700","7.8000","","2.55%"
"12/12/2008","7.8500","7.6400","7.8900","7.6000","","2.48%"
"12/11/2008","7.6600","7.6200","7.6900","7.5000","","0.26%"
"12/10/2008","7.6400","7.5700","7.6600","7.5700","","0.53%"
"12/09/2008","7.6000","7.4500","7.6000","7.4500","","0.46%"
"12/08/2008","7.5650","7.4800","7.5750","7.4800","","0.13%"
"12/05/2008","7.5550","7.4500","7.5800","7.4100","","0.43%"
"12/04/2008","7.5225","7.3500","7.5225","7.2000","","2.70%"
"12/03/2008","7.3250","7.3600","7.5250","7.2500","","-2.33%"
"12/02/2008","7.5000","7.3000","7.5000","7.3000","","1.63%"
"12/01/2008","7.3800","7.0000","7.3800","7.0000","","-1.86%"
"11/28/2008","7.5200","7.3000","7.5400","7.3000","","1.97%"
"11/27/2008","7.3750","6.7500","7.3750","6.7500","","9.26%"
"11/26/2008","6.7500","6.8500","7.0500","6.7000","","0.00%"
"11/25/2008","6.7500","6.4000","6.7500","6.4000","","1.58%"
"11/24/2008","6.6450","6.5000","6.6450","6.2500","","8.58%"
"11/21/2008","6.1200","6.2000","6.4200","6.0000","","-2.08%"
"11/20/2008","6.2500","6.0500","6.4500","6.0500","","2.12%"
"11/19/2008","6.1200","6.0000","6.3700","6.0000","","2.26%"
"11/18/2008","5.9850","5.8000","6.0150","5.7900","","3.55%"
"11/17/2008","5.7800","5.7700","5.7800","5.7700","","0.17%"
"11/14/2008","5.7700","5.8100","5.8700","5.7600","","0.00%"
"11/13/2008","5.7700","5.7750","5.8000","5.7600","","0.00%"
"11/12/2008","5.7700","5.7800","5.7900","5.7600","","-0.43%"
"11/11/2008","5.7950","5.7800","5.7950","5.7800","","0.35%"
"11/10/2008","5.7750","5.7700","5.7750","5.7700","","-0.26%"
"11/07/2008","5.7900","5.7900","5.8100","5.7800","","-0.17%"
"11/06/2008","5.8000","5.7900","5.8000","5.7900","","-0.60%"
"11/05/2008","5.8350","5.8000","5.8350","5.8000","","0.60%"
"11/04/2008","5.8000","5.8000","5.8200","5.7800","","-0.94%"
"11/03/2008","5.8550","5.8500","5.8650","5.8400","","-1.10%"
"10/31/2008","5.9200","5.9100","5.9700","5.8500","","-1.09%"
"10/30/2008","5.9850","6.6000","6.6850","5.9000","","-15.17%"
"10/29/2008","7.0550","6.2000","7.0550","6.1500","","11.10%"
"10/28/2008","6.3500","6.1000","6.3500","5.9000","","4.96%"
"10/27/2008","6.0500","5.9000","6.2250","5.9000","","2.98%"
"10/24/2008","5.8750","5.9800","6.0950","5.8000","","-1.92%"
"10/23/2008","5.9900","5.7000","5.9900","5.7000","","3.28%"
"10/22/2008","5.8000","5.3500","5.8500","5.3500","","4.69%"
"10/21/2008","5.5400","5.3800","5.5550","5.3800","","0.77%"
"10/20/2008","5.4975","5.2000","5.5025","5.2000","","4.52%"
"10/17/2008","5.2600","5.2700","5.3000","5.1000","","0.48%"
"10/16/2008","5.2350","5.1500","5.3150","5.1200","","2.55%"
"10/15/2008","5.1050","5.0800","5.2200","5.0500","","0.64%"
"10/14/2008","5.0725","5.1500","5.1775","5.0100","","-2.45%"
"10/13/2008","5.2000","5.1500","5.2200","5.0500","","-0.95%"
"10/10/2008","5.2500","5.3000","5.3500","5.0500","","-6.50%"
"10/09/2008","5.6150","5.5300","5.7150","5.5000","","0.27%"
"10/08/2008","5.6000","5.5500","5.8000","5.4500","","0.54%"
"10/07/2008","5.5700","5.3100","5.5800","5.3000","","4.60%"
"10/06/2008","5.3250","5.2100","5.3550","5.0000","","1.48%"
"10/03/2008","5.2475","5.2200","5.2625","5.0500","","0.86%"
"10/02/2008","5.2025","5.0900","5.2325","5.0900","","1.71%"
"10/01/2008","5.1150","5.0650","5.1400","5.0600","","0.79%"
"09/30/2008","5.0750","5.0600","5.0900","5.0600","","0.10%"
"09/29/2008","5.0700","5.0400","5.0700","5.0400","","0.30%"
"09/26/2008","5.0550","5.0700","5.0850","5.0400","","-0.52%"
"09/25/2008","5.0815","5.0600","5.0965","5.0530","","0.23%"
"09/24/2008","5.0700","5.0200","5.0830","4.9000","","0.43%"
"09/23/2008","5.0485","4.9500","5.0675","4.9500","","0.77%"
"09/22/2008","5.0100","4.9900","5.0350","4.9500","","0.25%"
"09/19/2008","4.9975","4.9900","5.0425","4.9400","","-0.05%"
"09/18/2008","5.0000","4.9000","5.0620","4.9000","","1.11%"
"09/17/2008","4.9450","4.8100","4.9550","4.8100","","2.81%"
"09/16/2008","4.8100","4.7750","4.8300","4.7700","","0.63%"
"09/15/2008","4.7800","4.7500","4.7900","4.7500","","0.19%"
"09/12/2008","4.7710","4.7700","4.7950","4.7500","","-0.29%"
"09/11/2008","4.7850","4.7250","4.8100","4.7230","","0.41%"
"09/10/2008","4.7655","4.7200","4.7955","4.7200","","0.52%"
"09/09/2008","4.7410","4.7250","4.7620","4.7200","","0.23%"
"09/08/2008","4.7300","4.7100","4.7450","4.7000","","0.32%"
"09/05/2008","4.7150","4.7150","4.7380","4.7000","","-0.21%"
"09/04/2008","4.7250","4.7400","4.7500","4.7100","","-0.47%"
"09/03/2008","4.7475","4.7600","4.7675","4.7000","","-0.26%"
"09/02/2008","4.7600","4.6600","4.7800","4.6600","","1.71%"
"09/01/2008","4.6800","4.6700","4.6800","4.6650","","0.18%"
"08/29/2008","4.6715","4.6450","4.6715","4.6300","","0.57%"
"08/28/2008","4.6450","4.6240","4.6750","4.6130","","-0.27%"
"08/27/2008","4.6575","4.6150","4.6725","4.6150","","0.90%"
"08/26/2008","4.6160","4.6080","4.6230","4.6060","","0.13%"
"08/25/2008","4.6100","4.6050","4.6100","4.6050","","0.00%"
"08/22/2008","4.6100","4.6150","4.6200","4.6050","","-0.18%"
"08/21/2008","4.6182","4.6100","4.6282","4.6000","","0.18%"
"08/20/2008","4.6100","4.5950","4.6200","4.5900","","0.21%"
"08/19/2008","4.6005","4.6000","4.6095","4.5800","","-0.03%"
"08/18/2008","4.6020","4.6000","4.6220","4.5900","","-1.14%"
"08/15/2008","4.6550","4.6150","4.6550","4.5900","","0.54%"
"08/14/2008","4.6300","4.6200","4.7100","4.6075","","0.22%"
"08/13/2008","4.6200","4.6200","4.6255","4.6050","","0.11%"
"08/12/2008","4.6150","4.6300","4.6450","4.6000","","-0.32%"
"08/11/2008","4.6300","4.6200","4.6350","4.6100","","0.03%"
"08/08/2008","4.6288","4.6350","4.6787","4.6175","","-0.03%"
"08/07/2008","4.6300","4.6250","4.6325","4.6100","","0.03%"
"08/06/2008","4.6285","4.6300","4.6495","4.6200","","-0.03%"
"08/05/2008","4.6300","4.6350","4.6500","4.6200","","-0.28%"
"08/04/2008","4.6430","4.6400","4.6450","4.6200","","0.06%"
"08/01/2008","4.6400","4.6450","4.6750","4.6200","","-0.59%"
"07/31/2008","4.6675","4.6550","4.6825","4.6200","","-0.35%"
"07/30/2008","4.6837","4.6400","4.6837","4.6400","","0.24%"
"07/29/2008","4.6725","4.6250","4.7025","4.6250","","0.56%"
"07/28/2008","4.6463","4.6200","4.6487","4.6150","","0.24%"
"07/25/2008","4.6350","4.6000","4.6400","4.6000","","0.27%"
"07/24/2008","4.6225","4.5900","4.6225","4.5900","","0.35%"
"07/23/2008","4.6063","4.5850","4.6088","4.5850","","0.03%"
"07/22/2008","4.6050","4.5800","4.6050","4.5700","","0.22%"
"07/21/2008","4.5950","4.5975","4.6175","4.5800","","-0.43%"
"07/18/2008","4.6150","4.5900","4.6200","4.5800","","-0.11%"
"07/17/2008","4.6200","4.5900","4.6250","4.5900","","0.11%"
"07/16/2008","4.6150","4.6200","4.6450","4.5900","","-0.32%"
"07/15/2008","4.6300","4.5950","4.6600","4.5950","","0.62%"
"07/14/2008","4.6013","4.6050","4.6113","4.5850","","-0.42%"
"07/11/2008","4.6205","4.6500","4.6600","4.6000","","0.01%"
"07/10/2008","4.6200","4.5850","4.6700","4.5700","","0.87%"
"07/09/2008","4.5800","4.6050","4.6150","4.5700","","-0.97%"
"07/08/2008","4.6250","4.5900","4.6400","4.5600","","-1.28%"
"07/07/2008","4.6850","4.5600","4.6850","4.5100","","1.85%"
"07/04/2008","4.6000","4.5600","4.6000","4.5600","","0.66%"
"07/03/2008","4.5700","4.6100","4.6300","4.5400","","-0.98%"
"07/02/2008","4.6150","4.5800","4.7350","4.5800","","0.87%"
"07/01/2008","4.5750","4.5400","4.8250","4.4950","","0.19%"
