"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/2024","39.6077","39.6125","39.6184","39.5942","","-0.01%"
"05/12/2024","39.6125","39.5442","39.6125","39.5442","","0.09%"
"05/10/2024","39.5784","39.5940","39.5940","39.4219","","-0.11%"
"05/09/2024","39.6205","39.5000","39.7379","39.3150","","0.52%"
"05/08/2024","39.4145","39.3097","39.4145","39.3097","","0.39%"
"05/07/2024","39.2604","39.3750","39.4807","39.1925","","-0.08%"
"05/06/2024","39.2930","39.2970","39.3043","39.2795","","-0.15%"
